order_number	stage_type	from	to	material_code	quantity	start_date	end_date	lead_time	price		
4500000234	PLANT	P	V1	CC-R03	2840	2019-12-17	2019-12-20	72	5.94		
4500000234	PLANT	P	V1	CC-R01	7980	2019-12-17	2019-12-20	72	2.36		
4500000234	PLANT	P	V1	CC-R04	12600	2019-12-17	2019-12-20	72	0.82		
4500000234	PLANT	P	V1	CC-R05	30450	2019-12-17	2019-12-20	72	1.29		
4500000234	PLANT	P	V1	CC-R06	75600	2019-12-17	2019-12-20	72	0.80		
4500000234	PLANT	P	V1	CC-R02	7040	2019-12-17	2019-12-20	72	5.21		
4500000235	PLANT	P	V2	CC-P01	84000	2019-12-17	2019-12-24	120	0.34		
4500000235	PLANT	P	V2	CC-P02	84000	2019-12-17	2019-12-24	120	0.16		
4500000235	PLANT	P	V2	CC-P03	105000	2019-12-17	2019-12-24	120	0.26		
4500000235	PLANT	P	V2	CC-P04	105000	2019-12-17	2019-12-24	120	0.14		
4500000254	PLANT	P	V1	CC-R04	12600	2019-12-31	2020-01-02	48	1.05		
4500000254	PLANT	P	V1	CC-R05	34420	2019-12-31	2020-01-02	48	1.28		
4500000254	PLANT	P	V1	CC-R01	7980	2019-12-31	2020-01-02	48	2.41		
4500000254	PLANT	P	V1	CC-R02	7030	2019-12-31	2020-01-02	48	5.45		
4500000254	PLANT	P	V1	CC-R03	2830	2019-12-31	2020-01-02	48	5.87		
4500000254	PLANT	P	V1	CC-R06	84870	2019-12-31	2020-01-02	48	0.90		
4500000255	PLANT	P	V2	CC-P04	131000	2019-12-31	2020-01-02	48	0.14		
4500000255	PLANT	P	V2	CC-P01	84000	2019-12-31	2020-01-02	48	0.34		
4500000255	PLANT	P	V2	CC-P02	84000	2019-12-31	2020-01-02	48	0.16		
4500000255	PLANT	P	V2	CC-P03	131000	2019-12-31	2020-01-02	48	0.26		
